id_marca,nombre_marca,numero_registro,estado_registro
123,"14 HANDS PRIMITIVO, THE RESERVE 2022",LBD.0216223,ACTIVE
124,"14 HANDS RED BLEND, LIMITED RELEASE",LBD.0217322,ACTIVE
125,14 HANDS RED RUN WILD COLUMBIA VALLEY,LBD.0137335,ACTIVE
126,"14 HANDS RIESLING, THE RESERVE 2023",LBD.0216224,ACTIVE
127,14 HANDS ROSE COLUMBIA VALLEY,LBD.0153050,ACTIVE
128,"14 HANDS SANGIOVESE, THE RESERVE HORSE HEAVEN HILLS",LBD.0216530,ACTIVE
129,14 HANDS SMOOTH RED BLEND HOT TO TROT COLUMBIA VALLEY,LBD.0153049,ACTIVE
130,14 HANDS SWEET RED BLEND 2022,LBD.0208241,ACTIVE
131,14 HANDS SWEET RIESLING 2024,LBD.0227494,ACTIVE
132,14 HANDS SYRAH THE RESERVE HORSE HEAVEN HILLS,LBD.0104316,ACTIVE
133,14 HANDS WHITE CABERNET SAUVIGNON HORSE HEAVEN HILLS,LBD.0204431,ACTIVE
134,14 HILLTOP PINOT BLANC,LBD.0222329,ACTIVE
135,1420 FINISHED AT SEA BOURBON,LBD.0210687,ACTIVE
136,1420 FINISHED AT SEA SINGLE BARREL,LBD.0210688,ACTIVE
137,1420 FULL PROOF,LBD.0209774,ACTIVE
138,1420 SINGLE BARREL,LBD.0210690,ACTIVE
139,1420 SPECIAL RESERVE,LBD.0210689,ACTIVE
140,1420 STRAWBERRY LEMONADE HAZE,LBD.0194424,ACTIVE
141,15 STARS FIRST WEST EXPLORER KSBW,LBD.0237053,ACTIVE
142,15 STARS FIRST WEST EXTRA AGED KSBW,LBD.0237052,ACTIVE
143,15 STARS FIRST WEST RYE WHISKEY,LBD.0219519,ACTIVE
144,15 STARS KENTUCKE COUNTY AGED 12 YEARS AMERICAN WHISKEY,LBD.0237051,ACTIVE
145,15 STARS PLATINUM BOURBON WHISKEY,LBD.0219520,ACTIVE
146,15 STARS PRIVATE STOCK BOURBON WHISKEY,LBD.0219521,ACTIVE
147,15 STARS TRIPLE CASK II BOURBON WHISKEY,LBD.0219518,ACTIVE
148,1530,LBD.0187422,ACTIVE
149,1554,LBD.0128551,ACTIVE
150,1639,LBD.0208129,ACTIVE
151,1686 BOURBON WHISKY,LBD.0180990,ACTIVE
152,1701 AMERICAN SINGLE MALT WHISKY,LBD.0180991,ACTIVE
153,1738 ACCORD ROYAL HEART OF COGNAC,LBD.0226667,ACTIVE
154,1741 HARD CIDER,LBD.0206631,ACTIVE
155,1741 ORCHARD BLUEBERRY,LBD.0232054,ACTIVE
156,1749 PINOT NOIR VIN DE FRANCE,LBD.0178281,ACTIVE
157,1757 EXTRA DRY,LBD.0158363,ACTIVE
158,1757 ROSSO,LBD.0158420,ACTIVE
159,1767,LBD.0208130,ACTIVE
160,1776 STRAIGHT RYE WHISKEY,LBD.0119845,ACTIVE
161,1792 AGED 12 YEARS,LBD.0158138,ACTIVE
162,1792 BOTTLED IN BOND,LBD.0140100,ACTIVE
163,1792 BOURBON COGNAC FINISH,LBD.0225148,ACTIVE
164,1792 FULL PROOF,LBD.0123763,ACTIVE
165,1792 HIGH RYE,LBD.0128903,ACTIVE
166,1792 PORT FINISH,LBD.0117679,ACTIVE
167,1792 SINGLE BARREL,LBD.0119626,ACTIVE
168,1792 SMALL BATCH,LBD.0110542,ACTIVE
169,1792 SWEET WHEAT,LBD.0114947,ACTIVE
170,18 FERNET 82,LBD.0210122,ACTIVE
171,18 GRAN RESERVE MALBEC,LBD.0206318,ACTIVE
172,18 GRAN RESERVE PINOT NOIR,LBD.0206319,ACTIVE
173,18 PINOT GRIGIO,LBD.0206320,ACTIVE
174,18 SAUVIGNON BLANC,LBD.0206317,ACTIVE
175,18 WATT IPA,LBD.0210570,ACTIVE
176,18% LIQUID SIN,LBD.0219242,ACTIVE
177,"1800 ""ULTIMATE POMEGRANATE"" READY TO DRINK MARGARITA",LBD.0073015,ACTIVE
178,1800 BLACK CHERRY ULTIMATE MARGARITA,LBD.0177197,ACTIVE
179,1800 BLANCO HIGH PROOF,LBD.0230309,ACTIVE
180,1800 COCONUT,LBD.0088822,ACTIVE
181,1800 COLECCION TEQUILA EXTRA ANEJO,LBD.0079770,ACTIVE
182,1800 CRISTALINO TEQUILA,LBD.0139129,ACTIVE
183,1800 CUCUMBER & JALAPENO,LBD.0204743,ACTIVE
184,1800 JALAPENO LIME,LBD.0130917,ACTIVE
185,1800 PASSIONFRUIT,LBD.0199788,ACTIVE
186,1800 REPOSADO HIGH PROOF,LBD.0230308,ACTIVE
187,1800 REPOSADO TEQUILA RESERVA,LBD.0046849,ACTIVE
188,1800 SELECT SILVER TEQUILA (BLACK LABEL),LBD.0064259,ACTIVE
189,1800 SILVER TEQUILA RESERVA,LBD.0046850,ACTIVE
190,1800 STRAWBERRY RTD,LBD.0190831,ACTIVE
191,1800 TEQUILA MILENIO,LBD.0107229,ACTIVE
192,1800 TEQUILA RESERVA ANEJO,LBD.0046848,ACTIVE
193,1800 ULTIMATE BLUEBERRY RTD,LBD.0082920,ACTIVE
194,1800 ULTIMATE MANGO,LBD.0151496,ACTIVE
195,1800 ULTIMATE MARGARITA BLOOD ORANGE,LBD.0162691,ACTIVE
196,1800 ULTIMATE MARGARITA LIGHT LIME,LBD.0221907,ACTIVE
197,1800 ULTIMATE MARGARITA TEQUILA,LBD.0050660,ACTIVE
198,1800 ULTIMATE PEACH MARGARITA,LBD.0111013,ACTIVE
199,1800 ULTIMATE PINEAPPLE MARGARITA RTD,LBD.0090342,ACTIVE
200,1800 ULTIMATE RASPBERRY,LBD.0151497,ACTIVE
201,1800 ULTIMATE RASPBERRY MARGARITA,LBD.0120436,ACTIVE
202,1800 ULTIMATE SKINNY MARGARITA,LBD.0098448,ACTIVE
203,1800 ULTIMATE SPICY,LBD.0145159,ACTIVE
204,1800 WATERMELON RTD,LBD.0142251,ACTIVE
205,1800 WILD BERRY RTD,LBD.0209799,ACTIVE
206,18401 CELLARS PROPRIETARY RED BLEND,LBD.0174276,ACTIVE
207,1853 OLD VINE ESTATE,LBD.0216017,ACTIVE
208,1858 BY CAYMUS VINEYARDS CABERNET SAUVIGNON CALIFORNIA,LBD.0226636,ACTIVE
209,1858 BY CAYMUS VINEYARDS ZINFANDEL,LBD.0226637,ACTIVE
210,1858 CABERNET SAUVIGNON NAPA RESERVE,LBD.0180827,ACTIVE
211,1858 CABERNET SAUVIGNON NAPA VALLEY,LBD.0125089,ACTIVE
212,1858 CABERNET SAUVIGNON PASO,LBD.0145564,ACTIVE
213,1858 CABERNET SAUVIGNON PASO RESERVE,LBD.0190464,ACTIVE
214,1858 CHARDONNAY MONTEREY,LBD.0193479,ACTIVE
215,1858 MERLOT CALIFORNIA,LBD.0211750,ACTIVE
216,1858 PINOT NOIR MONTEREY,LBD.0174992,ACTIVE
217,1858 RED BLEND,LBD.0169428,ACTIVE
218,1858 SAUVIGNON BLANC,LBD.0165284,ACTIVE
219,1864 CASTILLO DE OLITE CABERNET,LBD.0211246,ACTIVE
220,1864 CASTILLO DE OLITE CHARDONNAY,LBD.0211249,ACTIVE
221,1864 CASTILLO DE OLITE RESERVA,LBD.0211247,ACTIVE
222,1864 CASTILLO DE OLITE SYRAH,LBD.0211248,ACTIVE
223,1865 SELECTED BLEND MASTER BLEND,LBD.0224110,ACTIVE
224,1865 SELECTED COLLECTION DESERT VALLEY,LBD.0224111,ACTIVE
225,1865 SELECTED COLLECTION OLD VINES,LBD.0224109,ACTIVE
226,1865 SELECTED VINEYARD CABERNET SAUVIGNON,LBD.0187702,ACTIVE
227,1865 SELECTED VINEYARD CARMENERE,LBD.0187703,ACTIVE
228,1865 SELECTED VINEYARD CARMENERE D O VALLE DEL MAULE,LBD.0187704,ACTIVE
229,1865 SELECTED VINEYARD SAUVIGNON BLANC,LBD.0187705,ACTIVE
230,1865 SELECTED VINEYARD SAUVIGNON BLANC D O VALLE DE LEYDA,LBD.0187706,ACTIVE
231,1865 SELECTED VINEYARDS CABERNET SAUVIGNON,LBD.0187701,ACTIVE
232,1874,LBD.0215809,ACTIVE
233,1875 LAGER,LBD.0226121,ACTIVE
234,1882 BRUT ROSE PINOT NOIR DUNDEE HILLS,LBD.0221263,ACTIVE
235,1882 CABERNET SAUVIGNON,LBD.0192914,ACTIVE
236,1882 CABERNET SAUVIGNON NAPA VALLEY,LBD.0110388,ACTIVE
237,1882 CABERNET SAUVIGNON RUTHERFORD,LBD.0212829,ACTIVE
238,1882 PINOT NOIR DUNDEE HILLS,LBD.0221264,ACTIVE
239,1882 ROSE RUTHERFORD,LBD.0215349,ACTIVE
240,1882 SAUVIGNON BLANC RUTHERFORD,LBD.0215350,ACTIVE
241,1883 CABERNET SAUVIGNON CALIFORNIA,LBD.0150869,ACTIVE
242,1883 CHARDONNAY CALIFORNIA,LBD.0150870,ACTIVE
243,1889 ROYAL BRANDY,LBD.0186947,ACTIVE
244,1895 PRIMITIVO DI MANDURIA,LBD.0183637,ACTIVE
245,1895 VERGA LA STORIA MONTEPULCIANO D'ABRUZZO,LBD.0171188,ACTIVE
246,1895 VERGA LA STORIA ROSSO TOSCANA,LBD.0171175,ACTIVE
247,19 CRIMES BRIDE OF FRANKENSTEIN,LBD.0215736,ACTIVE
248,19 CRIMES CABERNET SAUVIGNON,LBD.0113686,ACTIVE
